clean_accuracy,adversarial_accuracy,adversarial_error_rate,robust_accuracy,CE_gaussian_noise,CE_shot_noise,CE_impulse_noise,CE_defocus_blur,CE_glass_blur,CE_motion_blur,CE_zoom_blur,CE_snow,CE_frost,CE_fog,CE_brightness,CE_contrast,CE_elastic_transform,CE_pixelate,CE_jpeg_compression,mCE,mean_corruption_accuracy,mAA,robustness_gap,relative_robustness,std_adversarial,model_arch,bottleneck_width,beta,is_baseline,failed
0.7991,0.098,0.902,0.098,2.3360611875357997,2.1087820802106516,2.6659723096625854,1.907440785219216,1.9946387652703688,2.3502446347988997,2.0622579410879167,2.1214395171770954,1.9601716476091475,2.451663878485621,1.6244014409772063,3.2370520661795212,1.7946754780912388,1.6409548711522397,1.637360504040106,2.126207807166508,0.6604813333333334,0.098,0.7011000000000001,0.12263796771367788,0.0,efficientnet_b2,48,0.0,True,False
0.1,0.09,0.91,0.09,5.724373381303884,6.0471709757424055,5.892260424148483,6.184660458833614,5.279120162787725,5.84984163867931,5.654968112477648,6.492027029999927,6.087610446985448,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.070716087770761,0.09999999999999998,0.09,0.010000000000000009,0.8999999999999999,0.0,efficientnet_b2,48,1.0,False,True
0.7974,0.112,0.888,0.112,2.3357303651445216,2.1005680940680937,2.72829880465409,1.8337209971691681,2.1186307466318075,2.1869643597553234,1.9719522272605623,2.1151152561755326,2.0189254374566876,2.305717360235393,1.6205847027329328,3.2041075234427097,1.7263636955346713,1.6773665172546752,1.6231708169782924,2.1044811269662973,0.6639786666666668,0.112,0.6854,0.14045648357160773,0.0,efficientnet_b2,48,0.0001,False,False
0.7956,0.104,0.896,0.104,2.595616066189243,2.341648700077272,2.7897851583851754,1.956639994038096,2.1548023991031964,2.2752849854304733,2.1569327320779044,2.262624809236187,2.1491600723319477,2.434563274516683,1.6814944933089244,3.1879873041749485,1.8346250951560275,1.7251493155966842,1.7011725101647464,2.216499127319168,0.6461546666666668,0.104,0.6916,0.13071895424836602,0.0,efficientnet_b2,48,1e-05,False,False
0.8017,0.12,0.88,0.12,2.4764843712295055,2.2720623077051654,2.7226537864634643,1.7908270023816926,2.181945718163275,2.1213099263820507,1.9350533158005185,2.2405066440398174,2.149704727564103,2.393902119106088,1.6290951287314968,3.2667980738862012,1.7276139462183324,1.704914120236489,1.6453246549613816,2.150546389524639,0.657376,0.12,0.6817,0.14968192590744667,0.0,efficientnet_b2,48,1e-06,False,False
0.7916,0.12,0.88,0.12,2.4352148045055317,2.231044824544825,2.6963071251577864,1.9054319050835502,2.1265293389634943,2.2417955764327155,2.103472699445276,2.228738534616146,2.1239244304400553,2.440578289355166,1.7025518414703875,3.3013709645364777,1.8424266168978238,1.7547257941863204,1.6686773235883081,2.186852671281591,0.651776,0.12,0.6716,0.15159171298635674,0.0,efficientnet_b2,48,1e-07,False,False
0.7416,0.1,0.9,0.1,2.6144021143786076,2.450511933369076,2.9016883020760953,2.1988807209709496,2.3099628012612228,2.4627938451386924,2.3499084731548727,2.524732882588896,2.352109429140679,2.854578786183618,2.0625024969212253,3.556551089531996,2.091773268773447,2.0834677478953796,1.9363615985968672,2.4500150326654415,0.6155759999999999,0.1,0.6416000000000001,0.1348435814455232,0.0,efficientnet_b2,48,0.1,False,False
0.7983,0.105,0.895,0.105,2.660679717771459,2.42700394843252,2.996521806926931,1.8521479188280594,2.1429784211294445,2.2338746105392113,1.9929891336082626,2.1732459327484737,2.0578251256063758,2.4033547709121477,1.6542981090720592,3.1788837329492488,1.7915251952408309,1.6750243584388322,1.6246716662680494,2.191001629898127,0.6502479999999999,0.105,0.6933,0.13152950018789927,0.0,efficientnet_b2,48,0.01,False,False
0.1,0.09,0.91,0.09,5.724274371402894,6.047004309075738,5.892096489722253,6.184294888876819,5.278943171637283,5.8496803483567295,5.654630044295829,6.492027029999927,6.087610446985448,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.786790788402631,6.246150411748431,6.070550646773166,0.10002133333333334,0.09,0.010000000000000009,0.8999999999999999,0.0,efficientnet_b2,48,10.0,False,True
0.1,0.09,0.91,0.09,5.724373381303884,6.0471709757424055,5.892260424148483,6.184660458833614,5.279120162787725,5.84984163867931,5.654968112477648,6.492027029999927,6.087610446985448,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.070716087770761,0.09999999999999998,0.09,0.010000000000000009,0.8999999999999999,0.0,efficientnet_b2,48,100.0,False,True
