model_arch,bottleneck_width,beta,mean_acc,std_acc,mean_val_loss,mean_compression
efficientnet_b2,16,1.0,9.98,0.072,2.303,8.532
efficientnet_b2,16,10.0,10.05,0.026,2.303,8.336
efficientnet_b2,16,100.0,10.24,0.269,2.302,8.729
efficientnet_b2,32,1e-08,78.563,0.42,0.643,8.275
efficientnet_b2,32,1e-07,79.437,0.917,0.651,8.306
efficientnet_b2,32,1e-06,79.74,0.314,0.627,8.285
efficientnet_b2,32,1e-05,78.763,1.016,0.637,8.438
efficientnet_b2,32,0.0001,78.85,0.416,0.637,8.386
efficientnet_b2,32,0.001,78.903,0.83,0.652,8.273
efficientnet_b2,32,0.01,71.047,9.213,0.851,8.233
efficientnet_b2,32,0.1,30.19,17.887,1.828,8.188
efficientnet_b2,32,1.0,11.94,1.699,2.295,8.215
efficientnet_b2,32,10.0,10.073,0.065,2.303,7.977
efficientnet_b2,32,100.0,10.213,0.163,2.301,8.691
efficientnet_b2,64,1e-08,79.553,0.946,0.618,8.305
efficientnet_b2,64,1e-07,79.513,0.796,0.618,8.299
efficientnet_b2,64,1e-06,79.353,1.583,0.628,8.333
efficientnet_b2,64,1e-05,79.66,0.612,0.604,8.286
efficientnet_b2,64,0.0001,79.613,1.166,0.616,8.452
efficientnet_b2,64,0.001,79.83,0.257,0.602,8.324
efficientnet_b2,64,0.01,78.35,1.587,0.639,8.306
efficientnet_b2,64,0.1,34.903,22.945,1.727,8.126
efficientnet_b2,64,1.0,10.133,0.214,2.302,8.219
efficientnet_b2,64,10.0,10.503,0.72,2.301,8.41
efficientnet_b2,64,100.0,10.22,0.284,2.302,8.683
efficientnet_b2,128,1e-08,80.298,0.636,0.59,8.271
efficientnet_b2,128,1e-07,80.26,0.502,0.596,8.287
efficientnet_b2,128,1e-06,79.993,0.744,0.604,8.268
efficientnet_b2,128,1e-05,80.12,0.523,0.606,8.283
efficientnet_b2,128,0.0001,80.557,1.043,0.588,8.28
efficientnet_b2,128,0.001,80.17,0.723,0.585,8.304
efficientnet_b2,128,0.01,79.817,0.787,0.601,8.26
efficientnet_b2,128,0.1,54.12,19.528,1.246,8.223
efficientnet_b2,128,1.0,18.153,13.984,2.1,8.31
efficientnet_b2,128,10.0,11.713,2.95,2.27,8.433
efficientnet_b2,128,100.0,10.22,0.173,2.302,8.587
efficientnet_b2,256,1e-08,80.063,1.198,0.586,8.323
efficientnet_b2,256,1e-07,80.403,0.677,0.588,8.429
efficientnet_b2,256,1e-06,79.65,0.65,0.594,8.281
efficientnet_b2,256,1e-05,80.433,0.531,0.589,8.265
efficientnet_b2,256,0.0001,79.923,0.561,0.593,8.495
efficientnet_b2,256,0.001,80.073,0.866,0.59,8.328
efficientnet_b2,256,0.01,79.583,0.968,0.588,8.266
efficientnet_b2,256,0.1,71.357,3.611,0.835,8.251
efficientnet_b2,256,1.0,16.863,8.059,2.171,8.125
efficientnet_b2,256,10.0,10.007,0.08,2.303,8.38
efficientnet_b2,256,100.0,10.44,0.531,2.298,8.746
efficientnet_b2,512,1e-08,79.997,0.403,0.582,8.356
efficientnet_b2,512,1e-07,80.13,0.484,0.599,8.35
efficientnet_b2,512,1e-06,80.037,0.357,0.59,8.275
efficientnet_b2,512,1e-05,80.087,0.588,0.588,8.285
efficientnet_b2,512,0.0001,80.083,0.986,0.595,8.247
efficientnet_b2,512,0.001,79.53,1.358,0.619,8.289
efficientnet_b2,512,0.01,80.147,1.008,0.595,8.316
efficientnet_b2,512,0.1,73.993,2.004,0.786,8.283
efficientnet_b2,512,1.0,20.4,13.723,2.07,8.112
efficientnet_b2,512,10.0,10.097,0.127,2.301,8.665
efficientnet_b2,512,100.0,10.16,0.184,2.302,8.273
efficientnet_b2,1024,1e-08,79.327,0.603,0.604,8.229
efficientnet_b2,1024,1e-07,79.91,0.345,0.599,8.233
efficientnet_b2,1024,1e-06,79.773,0.489,0.602,8.373
efficientnet_b2,1024,1e-05,80.167,0.165,0.585,8.245
efficientnet_b2,1024,0.0001,80.117,0.457,0.594,8.289
efficientnet_b2,1024,0.001,79.473,0.493,0.602,8.339
efficientnet_b2,1024,0.01,79.873,0.558,0.582,8.24
efficientnet_b2,1024,0.1,70.273,8.21,0.865,8.282
efficientnet_b2,1024,1.0,29.487,21.437,1.834,8.425
efficientnet_b2,1024,10.0,10.567,0.154,2.297,8.649
efficientnet_b2,1024,100.0,10.043,0.067,2.302,8.508
efficientnet_b2,2048,1e-08,78.83,0.75,0.62,8.295
efficientnet_b2,2048,1e-07,79.16,0.225,0.615,8.26
efficientnet_b2,2048,1e-06,79.347,1.19,0.617,8.397
efficientnet_b2,2048,1e-05,79.31,1.398,0.621,8.394
efficientnet_b2,2048,0.0001,79.19,0.413,0.614,8.234
efficientnet_b2,2048,0.001,79.71,0.721,0.607,8.35
efficientnet_b2,2048,0.01,78.77,1.081,0.622,8.239
efficientnet_b2,2048,0.1,75.87,1.448,0.718,8.361
efficientnet_b2,2048,1.0,19.36,14.723,2.075,8.276
efficientnet_b2,2048,10.0,10.007,0.012,2.303,8.598
efficientnet_b2,2048,100.0,10.007,0.07,2.302,8.636
