model_arch,bottleneck_width,beta,mean_acc,std_acc,mean_val_loss,mean_compression
vgg11,512,100.0,10.193,0.335,2.298,8.746
vgg11,1024,0.0,85.48,0.591,0.726,8.282
vgg11,1024,1e-08,85.557,0.315,0.73,8.285
vgg11,1024,1e-07,85.353,0.304,0.734,8.279
vgg11,1024,1e-06,85.287,0.344,0.739,8.281
vgg11,1024,1e-05,85.337,0.354,0.73,8.283
vgg11,1024,0.0001,85.237,0.368,0.73,8.284
vgg11,1024,0.001,85.523,0.336,0.714,8.282
vgg11,1024,0.01,35.227,43.685,1.559,8.746
vgg11,1024,0.1,14.157,3.657,2.268,8.269
vgg11,1024,1.0,12.027,2.166,2.292,8.746
vgg11,1024,10.0,10.0,0.0,2.302,8.746
vgg11,1024,100.0,10.0,0.0,2.303,8.746
vgg11,2048,0.0,85.147,0.293,0.705,8.271
vgg11,2048,1e-08,85.343,0.515,0.73,8.278
vgg11,2048,1e-07,85.417,0.142,0.726,8.278
vgg11,2048,1e-06,85.54,0.462,0.712,8.276
vgg11,2048,1e-05,85.1,0.251,0.719,8.28
vgg11,2048,0.0001,85.1,0.148,0.69,8.275
vgg11,2048,0.001,85.11,0.45,0.724,8.276
vgg11,2048,0.01,35.107,43.304,1.743,8.528
vgg11,2048,0.1,10.0,0.0,2.303,8.502
vgg11,2048,1.0,10.0,0.0,2.303,8.746
vgg11,2048,10.0,11.36,2.356,2.442,8.746
vgg11,2048,100.0,10.0,0.0,2.808,8.746
